AccessionNumber,Species,Geo_location,Collection_date,Host
KX547200.1,West Nile virus,"USA: Orange Co., NY",2012-08-16,Culex
KX547201.1,West Nile virus,"USA: Nassau Co., NY",2012-07-20,Aedes sp.
KX547205.1,West Nile virus,"USA: Rockland Co., NY",2005-08-19,Culex
KX547206.1,West Nile virus,"USA: Chautauqua Co., NY",2015-08-07,Culiseta
KX547208.1,West Nile virus,"USA: Dutchess Co., NY",2007-07-02,Culex
KX547209.1,West Nile virus,"USA: Montgomery Co., NY",2006-10-22,Corvus brachyrhynchos
KX547211.1,West Nile virus,"USA: Putnam Co., NY",2006-09-11,Corvus brachyrhynchos
KX547214.1,West Nile virus,"USA: Chautauqua Co., NY",2009-09-10,Corvus brachyrhynchos
KX547215.1,West Nile virus,"USA: Niagara Co., NY",2006-08-22,Culex
KX547216.1,West Nile virus,"USA: Rockland Co., NY",2011-09-16,Culex
KX547217.1,West Nile virus,"USA: Kings Co., NY",2005-09-29,Colaptes auratus
KX547219.1,West Nile virus,"USA: Dutchess Co., NY",2007-08-30,Culex
KX547220.1,West Nile virus,"USA: Suffolk Co., NY",2011-08-18,Coquillettidia
KX547221.1,West Nile virus,"USA: Nassau Co., NY",2014-09-23,Culex
KX547222.1,West Nile virus,"USA: Nassau Co., NY",2012-07-06,Aedes sp.
KX547223.1,West Nile virus,"USA: Queens Co., NY",2005-09-16,Corvus brachyrhynchos
KX547224.1,West Nile virus,"USA: Rockland Co., NY",2006-09-08,Culex
KX547225.1,West Nile virus,"USA: Rockland Co., NY",2010-09-17,Culex
KX547226.1,West Nile virus,"USA: Onondaga Co., NY",2007-07-25,Culex
KX547227.1,West Nile virus,"USA: Erie Co., NY",2011-09-01,Culex
KX547229.1,West Nile virus,"USA: Orleans Co., NY",2006-08-29,Cyanocitta cristata
KX547231.1,West Nile virus,"USA: Westchester Co., NY",2007-08-07,Culex
KX547233.1,West Nile virus,"USA: Richmond Co., NY",2007-07-19,Quiscalus quiscula
KX547234.1,West Nile virus,"USA: Westchester Co., NY",2012-07-03,Culex
KX547235.1,West Nile virus,"USA: Orange Co., NY",2015-08-13,Culex
KX547236.1,West Nile virus,"USA: Onondaga Co., NY",2011-09-15,Aedes sp.
KX547240.1,West Nile virus,"USA: Westchester Co., NY",2008-09-03,Culex
KX547242.1,West Nile virus,"USA: Westchester Co., NY",2010-08-03,Culex
KX547243.1,West Nile virus,"USA: Lewis Co., NY",2006-08-23,Corvus brachyrhynchos
KX547250.1,West Nile virus,"USA: Erie Co., NY",2006-08-03,Corvus brachyrhynchos
KX547254.1,West Nile virus,"USA: Suffolk Co., NY",2013-07-17,Culex
KX547255.1,West Nile virus,"USA: Oswego Co., NY",2011-09-13,Culiseta
KX547257.1,West Nile virus,"USA: Erie Co., NY",2007-09-24,Culex
KX547258.1,West Nile virus,"USA: Ontario Co., NY",2006-07-12,Corvus brachyrhynchos
KX547259.1,West Nile virus,"USA: Niagara Co., NY",2005-08-11,Cyanocitta cristata
KX547260.1,West Nile virus,"USA: Onondaga Co., NY",2006-08-10,Corvus brachyrhynchos
KX547262.1,West Nile virus,"USA: Onondaga Co., NY",2005-07-20,Corvus brachyrhynchos
KX547265.1,West Nile virus,"USA: Suffolk Co., NY",2009-08-31,Cyanocitta cristata
KX547268.1,West Nile virus,"USA: Nassau Co., NY",2006-08-09,Culex
KX547269.1,West Nile virus,"USA: Oswego Co., NY",2013-08-23,Culiseta
KX547270.1,West Nile virus,"USA: Albany Co., NY",2006-08-23,Corvus brachyrhynchos
KX547271.1,West Nile virus,"USA: Seneca Co., NY",2006-08-12,Cyanocitta cristata
KX547273.1,West Nile virus,"USA: Erie Co., NY",2006-07-31,Culex
KX547274.1,West Nile virus,"USA: Madison Co., NY",2013-09-05,Culiseta
KX547276.1,West Nile virus,"USA: Erie Co., NY",2011-07-18,Culex
KX547278.1,West Nile virus,"USA: Albany Co., NY",2012-09-17,Corvus brachyrhynchos
KX547279.1,West Nile virus,"USA: Suffolk Co., NY",2010-07-08,Culex
KX547280.1,West Nile virus,"USA: Oswego Co., NY",2012-09-10,Culiseta
KX547283.1,West Nile virus,"USA: Nassau Co., NY",2012-08-30,Aedes sp.
KX547284.1,West Nile virus,"USA: Niagara Co., NY",2008-08-15,Culex
KX547286.1,West Nile virus,"USA: Chautauqua Co., NY",2015-09-03,Culiseta
KX547289.1,West Nile virus,"USA: Cortland Co., NY",2005-10-05,Corvus brachyrhynchos
KX547290.1,West Nile virus,"USA: Schenectady Co., NY",2007-08-13,Corvus brachyrhynchos
KX547291.1,West Nile virus,"USA: Onondaga Co., NY",2012-08-14,Culiseta
KX547292.1,West Nile virus,"USA: Sufolk Co., NY",2009-09-16,Culex
KX547293.1,West Nile virus,"USA: Oswego Co., NY",2011-08-24,Culiseta
KX547294.1,West Nile virus,"USA: Rockland Co., NY",2010-09-30,Culex
KX547295.1,West Nile virus,"USA: Nassau Co., NY",2011-08-24,Culex
KX547297.1,West Nile virus,"USA: Orleans Co., NY",2007-08-06,Corvus brachyrhynchos
KX547300.1,West Nile virus,"USA: Ulster Co., NY",2009-08-17,Corvus brachyrhynchos
KX547303.1,West Nile virus,"USA: Westchester Co., NY",2005-07-27,Culex
KX547306.1,West Nile virus,"USA: Westchester Co., NY",2009-09-02,Culex
KX547307.1,West Nile virus,"USA: Bronx Co., NY",2005-08-15,Cyanocitta cristata
KX547309.1,West Nile virus,"USA: Suffolk Co., NY",2008-08-14,Corvus brachyrhynchos
KX547315.1,West Nile virus,"USA: Nassau Co., NY",2012-08-24,Culex
KX547318.1,West Nile virus,"USA: Niagara Co., NY",2006-08-19,Cyanocitta cristata
KX547319.1,West Nile virus,"USA: Rensselaer Co., NY",2009-09-07,Corvus brachyrhynchos
KX547321.1,West Nile virus,"USA: Rockland Co., NY",2005-09-07,Baeolophus bicolor
KX547323.1,West Nile virus,"USA: Westchester Co., NY",2013-07-31,Culex
KX547324.1,West Nile virus,"USA: Oswego Co., NY",2013-08-14,Culiseta
KX547325.1,West Nile virus,"USA: Onondaga Co., NY",2011-09-20,Culiseta
KX547326.1,West Nile virus,"USA: Nassau Co., NY",2007-08-01,Culex
KX547327.1,West Nile virus,"USA: Niagara Co., NY",2006-08-24,Corvus brachyrhynchos
KX547328.1,West Nile virus,"USA: Rockland Co., NY",2013-07-03,Culex
KX547329.1,West Nile virus,"USA: Richmond Co., NY",2007-08-24,Cyanocitta cristata
KX547330.1,West Nile virus,"USA: Erie Co., NY",2013-09-18,Culex
KX547332.1,West Nile virus,"USA: Bronx Co., NY",2005-08-08,Corvus brachyrhynchos
KX547333.1,West Nile virus,"USA: Suffolk Co., NY",2013-10-09,Culex
KX547334.1,West Nile virus,"USA: Erie Co., NY",2012-06-18,Culex
KX547335.1,West Nile virus,"USA: Erie Co., NY",2008-08-05,Culex
KX547337.1,West Nile virus,"USA: Rockland Co., NY",2012-09-28,Culex
KX547338.1,West Nile virus,"USA: Richmond Co., NY",2005-09-09,Corvus brachyrhynchos
KX547339.1,West Nile virus,"USA: Suffolk Co., NY",2007-09-11,Cyanocitta cristata
KX547340.1,West Nile virus,"USA: Orange Co., NY",2012-08-16,Culex
KX547341.1,West Nile virus,"USA: Dutchess Co., NY",2005-01-31,Corvus brachyrhynchos
KX547342.1,West Nile virus,"USA: Orange Co., NY",2006-08-10,Culex
KX547343.1,West Nile virus,"USA: Erie Co., NY",2012-08-08,Aedes sp.
KX547344.1,West Nile virus,"USA: Oswego Co., NY",2013-07-24,Culiseta
KX547347.1,West Nile virus,"USA: Monroe Co., NY",2005-05-25,Corvus brachyrhynchos
KX547348.1,West Nile virus,"USA: Rockland Co., NY",2009-08-14,Culex
KX547349.1,West Nile virus,"USA: Westchester Co., NY",2006-08-31,Culex
KX547350.1,West Nile virus,"USA: Rockland Co., NY",2006-07-28,Culex
KX547352.1,West Nile virus,"USA: Orange Co., NY",2008-08-14,Culex
KX547355.1,West Nile virus,"USA: Albany Co., NY",2005-09-13,Cyanocitta cristata
KX547356.1,West Nile virus,"USA: Oswego Co., NY",2012-08-07,Culiseta
KX547357.1,West Nile virus,"USA: Suffolk Co., NY",2007-08-07,Culex
KX547358.1,West Nile virus,"USA: Rockland Co., NY",2013-09-20,Culex
KX547359.1,West Nile virus,"USA: Nassau Co., NY",2006-08-14,Corvus brachyrhynchos
KX547360.1,West Nile virus,"USA: Putnam Co., NY",2005-09-11,Corvus brachyrhynchos
KX547361.1,West Nile virus,"USA: Suffolk Co., NY",2010-08-12,Culex
KX547362.1,West Nile virus,"USA: Dutchess Co., NY",2005-08-31,Culex
KX547365.1,West Nile virus,"USA: Suffolk Co., NY",2008-07-30,Cyanocitta cristata
KX547366.1,West Nile virus,"USA: Bronx Co., NY",2005-08-10,Haemorhous mexicanus
KX547367.1,West Nile virus,"USA: Richmond Co., NY",2006-07-21,Passer domesticus
KX547368.1,West Nile virus,"USA: Rockland Co., NY",2009-08-28,Culex
KX547369.1,West Nile virus,"USA: Westchester Co., NY",2011-08-25,Culex
KX547370.1,West Nile virus,"USA: Dutchess Co., NY",2005-08-30,Culex
KX547371.1,West Nile virus,"USA: Jefferson Co., NY",2007-09-20,Corvus brachyrhynchos
KX547372.1,West Nile virus,"USA: Suffolk Co., NY",2009-08-13,Corvus brachyrhynchos
KX547373.1,West Nile virus,"USA: Niagara Co., NY",2009-09-30,Corvus brachyrhynchos
KX547375.1,West Nile virus,"USA: Oswego Co., NY",2011-09-08,Culiseta
KX547376.1,West Nile virus,"USA: Erie Co., NY",2010-09-16,Culex
KX547377.1,West Nile virus,"USA: Nassau Co., NY",2005-07-21,Culex
KX547380.1,West Nile virus,"USA: Erie Co., NY",2012-07-11,Culex
KX547382.1,West Nile virus,"USA: Richmond Co., NY",2007-08-24,Cyanocitta cristata
KX547384.1,West Nile virus,"USA: Richmond Co., NY",2006-08-07,Haemorhous mexicanus
KX547385.1,West Nile virus,"USA: Richmond Co., NY",2006-07-27,Cyanocitta cristata
KX547387.1,West Nile virus,"USA: Chautauqua Co., NY",2006-08-22,Aedes sp.
KX547388.1,West Nile virus,"USA: Suffolk Co., NY",2010-08-26,Culex
KX547389.1,West Nile virus,"USA: Suffolk Co., NY",2012-09-07,Culiseta
KX547391.1,West Nile virus,"USA: Erie Co., NY",2010-08-25,Culex
KX547392.1,West Nile virus,"USA: Erie Co., NY",2007-08-08,Culex
KX547394.1,West Nile virus,"USA: Suffolk Co., NY",2006-08-01,Coquillettidia
KX547396.1,West Nile virus,"USA: Rockland Co., NY",2005-09-16,Culex
KX547397.1,West Nile virus,"USA: Rensselaer Co., NY",2005-08-30,Corvus brachyrhynchos
KX547399.1,West Nile virus,"USA: Suffolk Co., NY",2007-09-06,Culex
KX547400.1,West Nile virus,"USA: Queens Co., NY",2006-08-30,Passer domesticus
KX547401.1,West Nile virus,"USA: Suffolk Co., NY",2008-09-16,Culex
KX547404.1,West Nile virus,"USA: Albany Co., NY",2008-08-18,Corvus brachyrhynchos
KX547406.1,West Nile virus,"USA: Nassau Co., NY",2009-09-25,Culex
KX547407.1,West Nile virus,"USA: Suffolk Co., NY",2009-08-27,Cyanocitta cristata
KX547410.1,West Nile virus,"USA: Oswego Co., NY",2012-07-30,Culiseta
KX547412.1,West Nile virus,"USA: Madison Co., NY",2011-08-30,Aedes sp.
KX547413.1,West Nile virus,"USA: Otsego Co., NY",2005-08-02,Corvus brachyrhynchos
KX547416.1,West Nile virus,"USA: Onondaga Co., NY",2011-08-04,Coquillettidia
KX547417.1,West Nile virus,"USA: Rockland Co., NY",2011-07-22,Culex
KX547418.1,West Nile virus,"USA: St. Lawrence Co., NY",2012-08-16,Aedes sp.
KX547419.1,West Nile virus,"USA: Dutchess Co., NY",2007-08-23,Corvus brachyrhynchos
KX547420.1,West Nile virus,"USA: Suffolk Co., NY",2006-07-28,Cyanocitta cristata
KX547424.1,West Nile virus,"USA: Onondaga Co., NY",2007-07-10,Corvus brachyrhynchos
KX547425.1,West Nile virus,"USA: Suffolk Co., NY",2009-09-09,Cyanocitta cristata
KX547426.1,West Nile virus,"USA: Onondaga Co., NY",2007-08-08,Culex
KX547430.1,West Nile virus,"USA: Onondaga Co., NY",2009-08-18,Culiseta
KX547431.1,West Nile virus,"USA: Niagara Co., NY",2006-08-17,Culex
KX547432.1,West Nile virus,"USA: Suffolk Co., NY",2006-08-10,Coquillettidia
KX547433.1,West Nile virus,"USA: Richmond Co., NY",2006-08-31,Zenaida macroura
KX547434.1,West Nile virus,"USA: Rockland Co., NY",2009-09-11,Culex
KX547435.1,West Nile virus,"USA: Kings Co., NY",2006-08-18,Corvus brachyrhynchos
KX547436.1,West Nile virus,"USA: Erie Co., NY",2008-09-08,Culex
KX547438.1,West Nile virus,"USA: Onondaga Co., NY",2011-08-10,Culex
KX547440.1,West Nile virus,"USA: Suffolk Co., NY",2008-08-19,Corvus brachyrhynchos
KX547441.1,West Nile virus,"USA: Suffolk Co., NY",2005-08-16,Passer domesticus
KX547442.1,West Nile virus,"USA: Westchester Co., NY",2010-08-31,Culex
KX547443.1,West Nile virus,"USA: Nassau Co., NY",2012-08-17,Aedes sp.
KX547445.1,West Nile virus,"USA: Suffolk Co., NY",2014-09-17,Culex
KX547447.1,West Nile virus,"USA: Suffolk Co., NY",2007-08-08,Corvus brachyrhynchos
KX547449.1,West Nile virus,"USA: Suffolk Co., NY",2011-07-06,Culex
KX547450.1,West Nile virus,"USA: Onondaga Co., NY",2015-08-05,Culiseta
KX547451.1,West Nile virus,"USA: Monroe Co., NY",2006-08-22,Corvus brachyrhynchos
KX547452.1,West Nile virus,"USA: Nassau Co., NY",2007-08-14,Corvus brachyrhynchos
KX547453.1,West Nile virus,"USA: Suffolk Co., NY",2008-07-29,Turdus migratorius
KX547456.1,West Nile virus,"USA: Chautauqua Co., NY",2012-07-31,Culex
KX547457.1,West Nile virus,"USA: Nassau Co., NY",2011-07-27,Culex
KX547460.1,West Nile virus,"USA: Madison Co., NY",2013-08-06,Aedes sp.
KX547461.1,West Nile virus,"USA: Suffolk Co., NY",2005-08-08,Cardinalis cardinalis
KX547463.1,West Nile virus,"USA: Suffolk Co., NY",2009-08-25,Culex
KX547464.1,West Nile virus,"USA: Weschester Co., NY",2009-09-16,Culex
KX547465.1,West Nile virus,"USA: Westchester Co., NY",2013-07-31,Culex
KX547467.1,West Nile virus,"USA: Onondaga Co., NY",2013-09-12,Culiseta
KX547470.1,West Nile virus,"USA: Erie Co., NY",2007-08-09,Corvus brachyrhynchos
KX547471.1,West Nile virus,"USA: Erie Co., NY",2005-09-21,Aedes sp.
KX547472.1,West Nile virus,"USA: Livingston Co., NY",2006-08-31,Cyanocitta cristata
KX547473.1,West Nile virus,"USA: Erie Co., NY",2013-07-17,Culex
KX547475.1,West Nile virus,"USA: Orleans Co., NY",2006-08-06,Corvus brachyrhynchos
KX547476.1,West Nile virus,"USA: Suffolk Co., NY",2008-08-07,Cyanocitta cristata
KX547479.1,West Nile virus,"USA: Suffolk Co., NY",2005-09-07,Aedes sp.
KX547481.1,West Nile virus,"USA: Nassau Co., NY",2005-09-01,Cyanocitta cristata
KX547482.1,West Nile virus,"USA: Oswego Co., NY",2013-08-07,Culiseta
KX547483.1,West Nile virus,"USA: Nassau Co., NY",2014-07-03,Culex
KX547485.1,West Nile virus,"USA: Rockland Co., NY",2014-06-13,Culex
KX547486.1,West Nile virus,"USA: Erie Co., NY",2005-09-13,Culex
KX547488.1,West Nile virus,"USA: Suffolk Co., NY",2011-09-15,Culex
KX547491.1,West Nile virus,"USA: Queens Co., NY",2007-09-04,Corvus brachyrhynchos
KX547494.1,West Nile virus,"USA: Schenectady Co., NY",2010-09-12,Corvus brachyrhynchos
KX547495.1,West Nile virus,"USA: Westchester Co., NY",2011-07-21,Culex
KX547496.1,West Nile virus,"USA: Niagara Co., NY",2007-07-25,Corvus brachyrhynchos
KX547497.1,West Nile virus,"USA: Onondaga Co., NY",2012-08-01,Culex
KX547498.1,West Nile virus,"USA: Erie Co., NY",2009-09-09,Corvus brachyrhynchos
KX547500.1,West Nile virus,"USA: Dutchess Co., NY",2007-08-23,Corvus brachyrhynchos
KX547502.1,West Nile virus,"USA: Suffolk Co., NY",2006-09-13,Culex
KX547504.1,West Nile virus,"USA: Rockland Co., NY",2008-09-19,Culex
KX547507.1,West Nile virus,"USA: Onondaga Co., NY",2011-08-11,Coquillettidia
KX547508.1,West Nile virus,"USA: Lewis Co., NY",2005-09-05,Corvus brachyrhynchos
KX547510.1,West Nile virus,"USA: Nassau Co., NY",2007-09-14,Culex
KX547511.1,West Nile virus,"USA: Erie Co., NY",2006-08-21,Accipiter gentilis
KX547512.1,West Nile virus,"USA: Chautauqua Co., NY",2005-08-22,Corvus brachyrhynchos
KX547513.1,West Nile virus,"USA: Suffolk Co., NY",2005-09-14,Culex
KX547514.1,West Nile virus,"USA: Oswego Co., NY",2013-09-12,Culiseta
KX547515.1,West Nile virus,"USA: Schenectady Co., NY",2009-09-02,Corvus brachyrhynchos
KX547516.1,West Nile virus,"USA: Tompkins Co., NY",2007-08-22,Corvus brachyrhynchos
KX547517.1,West Nile virus,"USA: Ulster Co., NY",2009-09-04,Corvus brachyrhynchos
KX547518.1,West Nile virus,"USA: Columbia Co., NY",2009-08-31,Corvus brachyrhynchos
KX547520.1,West Nile virus,"USA: Westchester Co., NY",2012-09-11,Culex
KX547521.1,West Nile virus,"USA: Schuyler Co., NY",2005-08-18,Corvus brachyrhynchos
KX547522.1,West Nile virus,"USA: Nassau Co., NY",2009-08-10,Corvus ossifragus
KX547523.1,West Nile virus,"USA: Albany Co., NY",2005-07-16,Corvus brachyrhynchos
KX547524.1,West Nile virus,"USA: Westchester Co., NY",2013-08-21,Culex
KX547528.1,West Nile virus,"USA: Queens Co., NY",2007-08-24,Cyanocitta cristata
KX547529.1,West Nile virus,"USA: Onondaga Co., NY",2011-08-24,Culex
KX547530.1,West Nile virus,"USA: Dutchess Co., NY",2005-09-30,Passer domesticus
KX547532.1,West Nile virus,"USA: Suffolk Co., NY",2005-08-01,Cyanocitta cristata
KX547535.1,West Nile virus,"USA: Schenectady Co., NY",2007-09-06,Cyanocitta cristata
KX547537.1,West Nile virus,"USA: Suffolk Co., NY",2011-09-27,Culex
KX547539.1,West Nile virus,"USA: Tompkins Co., NY",2007-08-22,Corvus brachyrhynchos
KX547540.1,West Nile virus,"USA: Onondaga Co., NY",2012-09-27,Culiseta
KX547541.1,West Nile virus,"USA: Nassau Co., NY",2009-08-28,Culex
KX547543.1,West Nile virus,"USA: Westchester Co., NY",2007-09-05,Culex
KX547544.1,West Nile virus,"USA: Onondaga Co., NY",2009-08-26,Accipiter striatus
KX547545.1,West Nile virus,"USA: Monroe Co., NY",2007-09-28,Corvus brachyrhynchos
KX547546.1,West Nile virus,"USA: Otsego Co., NY",2006-09-19,Corvus brachyrhynchos
KX547547.1,West Nile virus,"USA: Oswego Co., NY",2012-08-23,Culiseta
KX547548.1,West Nile virus,"USA: Oswego Co., NY",2014-09-02,Culiseta
KX547551.1,West Nile virus,"USA: Onondaga Co., NY",2013-10-03,Culiseta
KX547552.1,West Nile virus,"USA: Kings Co., NY",2010-09-16,Cyanocitta cristata
KX547553.1,West Nile virus,"USA: Jefferson Co., NY",2006-09-16,Cyanocitta cristata
KX547555.1,West Nile virus,"USA: Orange Co., NY",2012-07-17,Culex
KX547556.1,West Nile virus,"USA: Oswego Co., NY",2012-09-06,Culiseta
KX547557.1,West Nile virus,"USA: Suffolk Co., NY",2009-09-22,Cyanocitta cristata
KX547558.1,West Nile virus,"USA: Nassau Co., NY",2008-09-04,Culex
KX547559.1,West Nile virus,"USA: Nassau Co., NY",2012-09-11,Culex
KX547560.1,West Nile virus,"USA: Suffolk Co., NY",2005-09-17,Spinus tristis
KX547561.1,West Nile virus,"USA: Suffolk Co., NY",2009-09-01,Corvus brachyrhynchos
KX547562.1,West Nile virus,"USA: Erie Co., NY",2010-07-27,Culex
KX547563.1,West Nile virus,"USA: Westchester Co., NY",2006-08-09,Culex
KX547565.1,West Nile virus,"USA: Onondaga Co., NY",2013-09-24,Culiseta
KX547567.1,West Nile virus,"USA: Cortland Co., NY",2006-08-26,Corvus brachyrhynchos
KX547568.1,West Nile virus,"USA: Albany Co., NY",2010-08-20,Corvus brachyrhynchos
KX547569.1,West Nile virus,"USA: Chautauqua Co., NY",2006-08-09,Corvus brachyrhynchos
KX547570.1,West Nile virus,"USA: Rockland Co., NY",2005-09-02,Cyanocitta cristata
KX547571.1,West Nile virus,"USA: Rockland Co., NY",2005-09-13,Corvus brachyrhynchos
KX547572.1,West Nile virus,"USA: Nassau Co., NY",2010-07-06,Culex
KX547574.1,West Nile virus,"USA: Suffolk Co., NY",2012-07-10,Culex
KX547575.1,West Nile virus,"USA: Suffolk Co., NY",2012-06-20,Culex
KX547576.1,West Nile virus,"USA: Onondaga Co., NY",2011-10-07,Culiseta
KX547578.1,West Nile virus,"USA: Queens Co., NY",2005-10-18,Cyanocitta cristata
KX547579.1,West Nile virus,"USA: Nassau Co., NY",2012-07-20,Aedes sp.
KX547580.1,West Nile virus,"USA: Niagara Co., NY",2008-08-13,Corvus brachyrhynchos
KX547582.1,West Nile virus,"USA: Rockland Co., NY",2010-07-02,Culex
KX547585.1,West Nile virus,"USA: Albany Co., NY",2009-09-02,Corvus brachyrhynchos
KX547587.1,West Nile virus,"USA: Suffolk Co., NY",2006-08-03,Turdus migratorius
KX547589.1,West Nile virus,"USA: Queens Co., NY",2007-08-24,Cyanocitta cristata
KX547594.1,West Nile virus,"USA: Westchester Co., NY",2013-07-31,Aedes sp.
KX547595.1,West Nile virus,"USA: Dutchess Co., NY",2007-08-23,Corvus brachyrhynchos
KX547596.1,West Nile virus,"USA: Suffolk Co., NY",2005-08-11,Quiscalus quiscula
KX547598.1,West Nile virus,"USA: Dutchess Co., NY",2009-09-03,Corvus brachyrhynchos
KX547599.1,West Nile virus,"USA: Westchester Co., NY",2005-09-29,Culex
KX547600.1,West Nile virus,"USA: Rensselaer Co., NY",2010-09-13,Corvus brachyrhynchos
KX547601.1,West Nile virus,"USA: Nassau Co., NY",2010-08-09,Aedes sp.
KX547604.1,West Nile virus,"USA: Erie Co., NY",2013-08-28,Culex
KX547606.1,West Nile virus,"USA: Rockland Co., NY",2008-08-01,Culex
KX547607.1,West Nile virus,"USA: Erie Co., NY",2006-08-28,Culex
KX547608.1,West Nile virus,"USA: Erie Co., NY",2009-08-25,Culex
KX547611.1,West Nile virus,"USA: Columbia Co., NY",2009-08-27,Corvus brachyrhynchos
KX547612.1,West Nile virus,"USA: Suffolk Co., NY",2012-08-21,Culex
KX547614.1,West Nile virus,"USA: Erie Co., NY",2005-07-06,Culex
KX547615.1,West Nile virus,"USA: Suffolk Co., NY",2006-07-26,Corvus brachyrhynchos
KX547616.1,West Nile virus,"USA: Kings Co., NY",2007-09-20,Corvus brachyrhynchos
KU588135.1,West Nile virus,United Arab Emirates,2015,Camelus dromedarius
KP780837.1,West Nile virus,Austria,2008-08-29,Nestor notabilis
KP780838.1,West Nile virus,Austria,2009-09-16,Nestor notabilis
KP780839.1,West Nile virus,Austria,2011-03-14,Nestor notabilis
KP780840.1,West Nile virus,Austria,2014-08-21,Nestor notabilis
KT934800.1,West Nile virus,"Australia: Pilbara Region, Western Australia",2009,Culex annulirostris
KT934801.1,West Nile virus,"Australia: Kimberley Region, Western Australia",2011,Culex annulirostris
KT934802.1,West Nile virus,"Australia: Kimberley Region, Western Australia",2009,Culex annulirostris
KT934803.1,West Nile virus,"Australia: Hallett, South Australia",2011,Equus caballus
KT934804.1,West Nile virus,Australia: New South Wales,2012,Culex annulirostris
KR868734.1,West Nile virus,"USA: Fort Collins, CO",2012-08-22,Culex tarsalis
KT163243.1,West Nile virus,India,2015-01-01,
KR107956.1,West Nile virus,Belgium,2014,
KT207791.1,West Nile virus,Italy,2014-07-15,Culicidae
KT207792.1,West Nile virus,Italy,2014-08-18,Culicidae
KP109692.1,West Nile virus,Austria,2014,Culex pipiens
KJ958922.1,West Nile virus,Turkey,2011,Equus caballus
KJ786935.1,West Nile virus,"USA: Houston, Harris Co., TX",2012-08-22,Mimus polyglottos
KJ786936.1,West Nile virus,"USA: Kathy, Harris Co., TX",2012-08-17,Cyanocitta cristata
KJ934710.1,West Nile virus,Romania: Enisala,2013-08-27,Hyalomma marginatum marginatum
JX442279.1,West Nile virus,China,2011,Culex pipiens pipiens
KM203860.1,West Nile virus,"Czech Republic: South Moravia, Novy fishpond at Mikulov",2013-08-08,Culex modestus
KM203861.1,West Nile virus,"Czech Republic: South Moravia, Nesyt fishpond at Mikulov",2013-08-08,Culex modestus
KM203862.1,West Nile virus,"Czech Republic: South Moravia, Mlynsky fishpond at Lednice",2013-08-08,Culex modestus
KM203863.1,West Nile virus,"Czech Republic: South Moravia, Mlynsky fishpond at Lednice",2013-08-08,Culex modestus
KJ831223.1,West Nile virus,Austria: Lake Neusiedl,2013-08,Uranotaenia unguiculata
KJ501096.1,West Nile virus,USA,2011,Culex tarsalis
KJ501097.1,West Nile virus,USA,2008,Culex tarsalis
KJ501098.1,West Nile virus,USA,2011,Culex pipiens
KJ501099.1,West Nile virus,USA,2009,Culex tarsalis
KJ501100.1,West Nile virus,USA,2009,Culex tarsalis
KJ501101.1,West Nile virus,USA,2009,Culex pipiens
KJ501102.1,West Nile virus,USA,2009,Culex tarsalis
KJ501106.1,West Nile virus,USA,2008,Culex tarsalis
KJ501108.1,West Nile virus,USA,2007,Culex tarsalis
KJ501109.1,West Nile virus,USA,2008,Culex tarsalis
KJ501110.1,West Nile virus,USA,2009,Culex tarsalis
KJ501111.1,West Nile virus,USA,2009,Culex tarsalis
KJ501112.1,West Nile virus,USA,2007,Culex tarsalis
KJ501113.1,West Nile virus,USA,2008,Culex tarsalis
KJ501114.1,West Nile virus,USA,2007,Culex tarsalis
KJ501115.1,West Nile virus,USA,2005,Culex tarsalis
KJ501116.1,West Nile virus,USA,2008,Culex quinquefasciatus
KJ501117.1,West Nile virus,USA,2010,Culex tarsalis
KJ501118.1,West Nile virus,USA,2011,Culex tarsalis
KJ501119.1,West Nile virus,USA,2005,Culex tarsalis
KJ501120.1,West Nile virus,USA,2010,Culex tarsalis
KJ501121.1,West Nile virus,USA,2011,Culex tarsalis
KJ501122.1,West Nile virus,USA,2011,Culex tarsalis
KJ501124.1,West Nile virus,USA,2010,Culex tarsalis
KJ501126.1,West Nile virus,USA,2007,Culicidae
KJ501127.1,West Nile virus,USA,2008,Culicidae
KJ501130.1,West Nile virus,USA,2008,Culex quinquefasciatus
KJ501132.1,West Nile virus,USA,2007,Culex quinquefasciatus
KJ501133.1,West Nile virus,USA,2008,Culex quinquefasciatus
KJ501134.1,West Nile virus,USA,2010,Culex quinquefasciatus
KJ501135.1,West Nile virus,USA,2010,Culex quinquefasciatus
KJ501136.1,West Nile virus,USA,2010,Culex quinquefasciatus
KJ501137.1,West Nile virus,USA,2011,Culex quinquefasciatus
KJ501138.1,West Nile virus,USA,2011,Culex quinquefasciatus
KJ501139.1,West Nile virus,USA,2011,Culex quinquefasciatus
KJ501140.1,West Nile virus,USA,2011,Culex quinquefasciatus
KJ501141.1,West Nile virus,USA,2011,Culex quinquefasciatus
KJ501142.1,West Nile virus,USA,2011,Culex stigmatosoma
KJ501143.1,West Nile virus,USA,2011,Culex quinquefasciatus
KJ501144.1,West Nile virus,USA,2011,Culex quinquefasciatus
KJ501145.1,West Nile virus,USA,2011,Culex quinquefasciatus
KJ501146.1,West Nile virus,USA,2011,Culex quinquefasciatus
KJ501147.1,West Nile virus,USA,2008,Culex quinquefasciatus
KJ501148.1,West Nile virus,USA,2011,Culex stigmatosoma
KJ501149.1,West Nile virus,USA,2011,Culex quinquefasciatus
